Measurement,Temperature,Humidity,SoilMoisture
303,24,18,51
304,24,18,51
305,24,18,51
306,24,18,51
307,24,18,51
308,24,18,51
309,24,18,51
310,24,18,64
311,24,18,64
312,24,18,64
313,24,18,64
314,24,18,65
315,24,18,66
316,24,18,67
317,24,18,67
318,24,18,67
319,24,18,67
320,24,18,53
321,24,18,52
322,24,18,53
323,24,18,60
324,24,18,56
325,24,18,59
326,24,18,61
327,24,18,63
328,24,18,63
329,24,18,63
330,24,18,63
331,24,18,64
332,24,18,64
333,24,18,56
334,24,18,52
335,24,18,52
336,24,18,52
337,24,18,51
338,24,18,51
339,24,18,51
340,24,18,51
341,24,18,49
342,24,18,49
343,24,18,48
344,24,18,47
345,24,18,48
346,24,18,48
347,24,18,48
348,24,18,47
349,24,18,46
350,24,18,45
351,24,18,45
352,24,18,43
353,24,18,42
354,24,18,52
355,24,18,59
356,24,18,52
357,24,18,52
358,24,18,83
359,23,18,88
360,23,18,50
361,23,18,49
362,23,18,51
363,23,18,51
